model,architecture,initialization,test_week,slice_type,event_type,observation_slice,match_count,alliance_count,actual_score_mean,predicted_score_mean,mean_bias_predicted_minus_actual,alliance_score_mae,alliance_score_rmse,score_differential_rmse,actual_score_p01,actual_score_p99,predicted_score_p01,predicted_score_p99
full-match,full-match,pre-2026-prior,10,observation_slice,all,high,1067,2134,436.45735707591376,369.6436057680442,-66.81375130786954,105.85471040876446,133.50102347612386,155.985842494503,117.0,799.3400000000001,152.44967221469736,526.1729520091669
full-match,full-match,pre-2026-prior,10,observation_slice,all,low,2,4,375.5,350.30765120247065,-25.192348797529355,104.31255608972558,111.44449943193393,60.136932336985645,287.39,596.15,188.3759953702065,460.89170158605066
full-match,full-match,pre-2026-prior,10,observation_slice,all,medium,50,100,384.9,315.2524746685512,-69.64752533144882,117.1567816730996,143.09941590057835,190.1060879486526,59.58,724.4600000000003,99.83031214678617,473.19852061863344
mean,additive-control,pre-2026-prior,6,observation_slice,all,high,11,22,320.8181818181818,150.999595578323,-169.81858623985883,175.9094217995539,230.63635985482867,228.70697762282634,106.77,638.75,143.99829244180822,158.00089871483777
mean,additive-control,pre-2026-prior,6,observation_slice,all,low,802,1604,163.07980049875312,150.99959557832304,-12.080204920430125,88.30172602554906,114.09431270564842,158.7207736813048,18.0,496.8800000000001,143.99829244180822,158.00089871483777
mean,additive-control,pre-2026-prior,6,observation_slice,all,medium,1047,2094,192.69293218720154,150.999595578323,-41.69333660887853,94.58695563910943,128.27230748728775,160.36535648180757,23.0,558.0700000000002,143.99829244180822,158.00089871483777
mean,additive-control,pre-2026-prior,8,observation_slice,all,high,1356,2712,314.63495575221236,165.5135627398686,-149.1213930123438,161.67857070214856,198.90495230319982,180.96897828780558,51.22,662.4499999999994,158.7150848890913,172.31204059064595
mean,additive-control,pre-2026-prior,8,observation_slice,all,low,264,528,215.8219696969697,165.51356273986863,-50.308406957101084,107.90925476386187,138.37871162453447,170.24699618160412,21.0,553.0300000000002,158.7150848890913,172.31204059064595
mean,additive-control,pre-2026-prior,8,observation_slice,all,medium,22,44,222.0681818181818,165.51356273986863,-56.55461907831318,117.27053186519457,155.8970723195748,228.06687260323173,34.46,611.83,158.7150848890913,172.31204059064595
mean,additive-control,pre-2026-prior,10,observation_slice,all,high,1067,2134,436.45735707591376,178.55311527394448,-257.9042418019693,261.5315338633698,299.1170759926768,206.42481764466814,117.0,799.3400000000001,171.94597451406423,185.16025603382468
mean,additive-control,pre-2026-prior,10,observation_slice,all,low,2,4,375.5,178.55311527394446,-196.94688472605554,196.94688472605554,235.63398070986275,207.90668543245798,287.39,596.15,171.94597451406423,185.16025603382468
mean,additive-control,pre-2026-prior,10,observation_slice,all,medium,50,100,384.9,178.55311527394446,-206.34688472605555,224.14071290152094,259.52542348356303,241.06338252148265,59.58,724.4600000000003,171.94597451406423,185.16025603382468
