supervision_mode,architecture,seed,epoch,scope,probability_variant,bin,count,mean_prediction,observed_rate
baseline,direct-total-pridge,control,0.0,division:2026dal,transferred_platt_red_win_probability,5,15,0.5448051971206984,0.4666666666666667
baseline,direct-total-pridge,control,0.0,division:2026dal,transferred_platt_red_win_probability,6,13,0.6670860987177979,0.5384615384615384
baseline,direct-total-pridge,control,0.0,division:2026dal,transferred_platt_red_win_probability,7,11,0.7447304155145154,0.6363636363636364
baseline,direct-total-pridge,control,0.0,division:2026dal,transferred_platt_red_win_probability,8,10,0.8500001506085558,0.8
baseline,direct-total-pridge,control,0.0,division:2026dal,transferred_platt_red_win_probability,9,25,0.9665627545756574,0.96
baseline,direct-total-pridge,control,0.0,division:2026dal,transferred_score_red_win_probability,0,14,0.050267629008673785,0.0
baseline,direct-total-pridge,control,0.0,division:2026dal,transferred_score_red_win_probability,1,18,0.1389848369047827,0.16666666666666666
baseline,direct-total-pridge,control,0.0,division:2026dal,transferred_score_red_win_probability,2,15,0.2568057568778866,0.4
baseline,direct-total-pridge,control,0.0,division:2026dal,transferred_score_red_win_probability,3,6,0.35617190080935296,0.3333333333333333
baseline,direct-total-pridge,control,0.0,division:2026dal,transferred_score_red_win_probability,4,11,0.4400015627740837,0.18181818181818182
baseline,direct-total-pridge,control,0.0,division:2026dal,transferred_score_red_win_probability,5,15,0.5448051971206984,0.4666666666666667
baseline,direct-total-pridge,control,0.0,division:2026dal,transferred_score_red_win_probability,6,13,0.6670860987177979,0.5384615384615384
baseline,direct-total-pridge,control,0.0,division:2026dal,transferred_score_red_win_probability,7,11,0.7447304155145154,0.6363636363636364
baseline,direct-total-pridge,control,0.0,division:2026dal,transferred_score_red_win_probability,8,10,0.8500001506085558,0.8
baseline,direct-total-pridge,control,0.0,division:2026dal,transferred_score_red_win_probability,9,25,0.9665627545756574,0.96
baseline,direct-total-pridge,control,0.0,division:2026gal,raw_pred_red_win_probability,0,15,0.0531734847820446,0.3333333333333333
baseline,direct-total-pridge,control,0.0,division:2026gal,raw_pred_red_win_probability,1,16,0.1521101377921226,0.3125
baseline,direct-total-pridge,control,0.0,division:2026gal,raw_pred_red_win_probability,2,13,0.24513435963564392,0.38461538461538464
baseline,direct-total-pridge,control,0.0,division:2026gal,raw_pred_red_win_probability,3,12,0.3637067642278969,0.4166666666666667
baseline,direct-total-pridge,control,0.0,division:2026gal,raw_pred_red_win_probability,4,10,0.44543221046018333,0.8
baseline,direct-total-pridge,control,0.0,division:2026gal,raw_pred_red_win_probability,5,9,0.5365866375012026,0.6666666666666666
baseline,direct-total-pridge,control,0.0,division:2026gal,raw_pred_red_win_probability,6,11,0.6494965695895266,0.5454545454545454
baseline,direct-total-pridge,control,0.0,division:2026gal,raw_pred_red_win_probability,7,16,0.7490928302919605,0.6875
baseline,direct-total-pridge,control,0.0,division:2026gal,raw_pred_red_win_probability,8,19,0.8449729170421364,0.7894736842105263
baseline,direct-total-pridge,control,0.0,division:2026gal,raw_pred_red_win_probability,9,17,0.9506667643109789,0.8235294117647058
baseline,direct-total-pridge,control,0.0,division:2026gal,transferred_platt_red_win_probability,0,15,0.0531734847820446,0.3333333333333333
baseline,direct-total-pridge,control,0.0,division:2026gal,transferred_platt_red_win_probability,1,16,0.1521101377921226,0.3125
baseline,direct-total-pridge,control,0.0,division:2026gal,transferred_platt_red_win_probability,2,13,0.24513435963564392,0.38461538461538464
baseline,direct-total-pridge,control,0.0,division:2026gal,transferred_platt_red_win_probability,3,12,0.3637067642278969,0.4166666666666667
baseline,direct-total-pridge,control,0.0,division:2026gal,transferred_platt_red_win_probability,4,10,0.44543221046018333,0.8
baseline,direct-total-pridge,control,0.0,division:2026gal,transferred_platt_red_win_probability,5,9,0.5365866375012026,0.6666666666666666
baseline,direct-total-pridge,control,0.0,division:2026gal,transferred_platt_red_win_probability,6,11,0.6494965695895266,0.5454545454545454
baseline,direct-total-pridge,control,0.0,division:2026gal,transferred_platt_red_win_probability,7,16,0.7490928302919605,0.6875
baseline,direct-total-pridge,control,0.0,division:2026gal,transferred_platt_red_win_probability,8,19,0.8449729170421364,0.7894736842105263
baseline,direct-total-pridge,control,0.0,division:2026gal,transferred_platt_red_win_probability,9,17,0.9506667643109789,0.8235294117647058
baseline,direct-total-pridge,control,0.0,division:2026gal,transferred_score_red_win_probability,0,15,0.0531734847820446,0.3333333333333333
baseline,direct-total-pridge,control,0.0,division:2026gal,transferred_score_red_win_probability,1,16,0.1521101377921226,0.3125
